week_start,week_end,price,symbol,box_type
2022-04-04,2022-04-10,127.40,NEO,Set
2022-04-11,2022-04-17,129.74,NEO,Set
2022-04-18,2022-04-24,126.08,NEO,Set
2022-04-25,2022-05-01,124.94,NEO,Set
2022-05-02,2022-05-08,125.16,NEO,Set
2022-05-09,2022-05-15,134.34,NEO,Set
2022-05-16,2022-05-22,141.89,NEO,Set
2022-05-23,2022-05-29,136.90,NEO,Set
2022-05-30,2022-06-05,122.21,NEO,Set
2022-06-06,2022-06-12,119.34,NEO,Set
2022-06-13,2022-06-19,113.18,NEO,Set
2022-06-20,2022-06-26,113.19,NEO,Set
2022-06-27,2022-07-03,113.57,NEO,Set
2022-07-04,2022-07-10,114.36,NEO,Set
2022-07-11,2022-07-17,114.73,NEO,Set
2022-07-18,2022-07-24,117.82,NEO,Set
2022-07-25,2022-07-31,124.02,NEO,Set
2022-08-01,2022-08-07,129.05,NEO,Set
2022-08-08,2022-08-14,129.29,NEO,Set
2022-08-15,2022-08-21,128.92,NEO,Set
2022-08-22,2022-08-28,129.30,NEO,Set
2022-08-29,2022-09-04,128.70,NEO,Set
2022-09-05,2022-09-11,127.03,NEO,Set
2022-09-12,2022-09-18,127.14,NEO,Set
2022-09-19,2022-09-25,122.52,NEO,Set
2022-09-26,2022-10-02,118.69,NEO,Set
2022-10-03,2022-10-09,120.40,NEO,Set
2022-10-10,2022-10-16,120.46,NEO,Set
2022-10-17,2022-10-23,119.87,NEO,Set
2022-10-24,2022-10-30,121.26,NEO,Set
2022-10-31,2022-11-06,121.37,NEO,Set
2022-11-07,2022-11-13,124.73,NEO,Set
2022-11-14,2022-11-20,130.55,NEO,Set
2022-11-21,2022-11-27,130.95,NEO,Set
2022-11-28,2022-12-04,130.66,NEO,Set
2022-12-05,2022-12-11,131.89,NEO,Set
2022-12-12,2022-12-18,130.16,NEO,Set
2022-12-19,2022-12-25,128.85,NEO,Set
2022-12-26,2023-01-01,129.43,NEO,Set
2023-01-02,2023-01-08,129.48,NEO,Set
2023-01-09,2023-01-15,129.47,NEO,Set
2023-01-16,2023-01-22,129.16,NEO,Set
2023-01-23,2023-01-29,128.77,NEO,Set
2022-02-21,2022-02-27,249.05,SNC,Collector
2022-02-28,2022-03-06,238.05,SNC,Collector
2022-03-07,2022-03-13,218.00,SNC,Collector
2022-03-14,2022-03-20,216.76,SNC,Collector
2022-03-21,2022-03-27,215.75,SNC,Collector
2022-03-28,2022-04-03,216.78,SNC,Collector
2022-04-04,2022-04-10,214.71,SNC,Collector
2022-04-11,2022-04-17,202.61,SNC,Collector
2022-04-18,2022-04-24,195.60,SNC,Collector
2022-04-25,2022-05-01,189.47,SNC,Collector
2022-05-02,2022-05-08,180.79,SNC,Collector
2022-05-09,2022-05-15,171.18,SNC,Collector
2022-05-16,2022-05-22,169.07,SNC,Collector
2022-05-23,2022-05-29,162.28,SNC,Collector
2022-05-30,2022-06-05,165.83,SNC,Collector
2022-06-06,2022-06-12,163.41,SNC,Collector
2022-06-13,2022-06-19,163.78,SNC,Collector
2022-06-20,2022-06-26,162.77,SNC,Collector
2022-06-27,2022-07-03,155.76,SNC,Collector
2022-07-04,2022-07-10,145.28,SNC,Collector
2022-07-11,2022-07-17,140.96,SNC,Collector
2022-07-18,2022-07-24,139.86,SNC,Collector
2022-07-25,2022-07-31,138.85,SNC,Collector
2022-08-01,2022-08-07,146.81,SNC,Collector
2022-08-08,2022-08-14,147.61,SNC,Collector
2022-08-15,2022-08-21,145.02,SNC,Collector
2022-08-22,2022-08-28,145.97,SNC,Collector
2022-08-29,2022-09-04,146.09,SNC,Collector
2022-09-05,2022-09-11,137.68,SNC,Collector
2022-09-12,2022-09-18,130.58,SNC,Collector
2022-09-19,2022-09-25,126.13,SNC,Collector
2022-09-26,2022-10-02,128.43,SNC,Collector
2022-10-03,2022-10-09,126.98,SNC,Collector
2022-10-10,2022-10-16,126.45,SNC,Collector
2022-10-17,2022-10-23,126.76,SNC,Collector
2022-10-24,2022-10-30,126.54,SNC,Collector
2022-10-31,2022-11-06,125.56,SNC,Collector
2022-11-07,2022-11-13,125.28,SNC,Collector
2022-11-14,2022-11-20,125.07,SNC,Collector
2022-11-21,2022-11-27,124.12,SNC,Collector
2022-11-28,2022-12-04,118.39,SNC,Collector
2022-12-05,2022-12-11,116.40,SNC,Collector
2022-12-12,2022-12-18,116.63,SNC,Collector
2022-12-19,2022-12-25,116.24,SNC,Collector
2022-12-26,2023-01-01,115.11,SNC,Collector
2023-01-02,2023-01-08,116.82,SNC,Collector
2023-01-09,2023-01-15,119.72,SNC,Collector
2023-01-16,2023-01-22,121.06,SNC,Collector
2023-01-23,2023-01-29,121.41,SNC,Collector
2022-02-21,2022-02-27,124.71,SNC,Set
2022-02-28,2022-03-06,117.86,SNC,Set
2022-03-07,2022-03-13,114.39,SNC,Set
2022-03-14,2022-03-20,114.48,SNC,Set
2022-03-21,2022-03-27,114.36,SNC,Set
2022-03-28,2022-04-03,115.32,SNC,Set
2022-04-04,2022-04-10,114.60,SNC,Set
2022-04-11,2022-04-17,113.65,SNC,Set
2022-04-18,2022-04-24,106.76,SNC,Set
2022-04-25,2022-05-01,106.72,SNC,Set
2022-05-02,2022-05-08,108.53,SNC,Set
2022-05-09,2022-05-15,108.58,SNC,Set
2022-05-16,2022-05-22,107.21,SNC,Set
2022-05-23,2022-05-29,100.57,SNC,Set
2022-05-30,2022-06-05,91.58,SNC,Set
2022-06-06,2022-06-12,97.29,SNC,Set
2022-06-13,2022-06-19,103.00,SNC,Set
2022-06-20,2022-06-26,103.05,SNC,Set
2022-06-27,2022-07-03,101.54,SNC,Set
2022-07-04,2022-07-10,101.44,SNC,Set
2022-07-11,2022-07-17,101.89,SNC,Set
2022-07-18,2022-07-24,100.65,SNC,Set
2022-07-25,2022-07-31,98.83,SNC,Set
2022-08-01,2022-08-07,96.73,SNC,Set
2022-08-08,2022-08-14,94.91,SNC,Set
2022-08-15,2022-08-21,94.10,SNC,Set
2022-08-22,2022-08-28,92.51,SNC,Set
2022-08-29,2022-09-04,92.39,SNC,Set
2022-09-05,2022-09-11,91.53,SNC,Set
2022-09-12,2022-09-18,91.18,SNC,Set
2022-09-19,2022-09-25,91.27,SNC,Set
2022-09-26,2022-10-02,91.32,SNC,Set
2022-10-03,2022-10-09,91.41,SNC,Set
2022-10-10,2022-10-16,91.22,SNC,Set
2022-10-17,2022-10-23,90.96,SNC,Set
2022-10-24,2022-10-30,91.11,SNC,Set
2022-10-31,2022-11-06,90.36,SNC,Set
2022-11-07,2022-11-13,88.25,SNC,Set
2022-11-14,2022-11-20,88.64,SNC,Set
2022-11-21,2022-11-27,88.32,SNC,Set
2022-11-28,2022-12-04,86.38,SNC,Set
2022-12-05,2022-12-11,85.99,SNC,Set
2022-12-12,2022-12-18,84.86,SNC,Set
2022-12-19,2022-12-25,85.23,SNC,Set
2022-12-26,2023-01-01,86.10,SNC,Set
2023-01-02,2023-01-08,88.73,SNC,Set
2023-01-09,2023-01-15,87.77,SNC,Set
2023-01-16,2023-01-22,87.58,SNC,Set
2023-01-23,2023-01-29,86.77,SNC,Set
2022-02-21,2022-02-27,109.86,SNC,Draft
2022-02-28,2022-03-06,101.74,SNC,Draft
2022-03-07,2022-03-13,99.52,SNC,Draft
2022-03-14,2022-03-20,98.98,SNC,Draft
2022-03-21,2022-03-27,102.76,SNC,Draft
2022-03-28,2022-04-03,102.25,SNC,Draft
2022-04-04,2022-04-10,101.48,SNC,Draft
2022-04-11,2022-04-17,100.40,SNC,Draft
2022-04-18,2022-04-24,96.25,SNC,Draft
2022-04-25,2022-05-01,94.90,SNC,Draft
2022-05-02,2022-05-08,92.97,SNC,Draft
2022-05-09,2022-05-15,84.00,SNC,Draft
2022-05-16,2022-05-22,84.93,SNC,Draft
